,DV_DEVICE_NUMBER,Device Status,DV_DEVICE_STATUS_DESCRIPTION,Device Type,DV_TRAVEL_DISTANCE (in feet),DV_SPEED_FPS,DV_CAPACITY_LBS,DV_FLOOR_FROM,DV_FLOOR_TO,DV_COVERED,,,
149,1P20202,A,ACTIVE,Passenger Elevator (P),12,2.166666667,2500,-1,1,2,,,
150,1P11432,A,ACTIVE,Passenger Elevator (P),12,2.5,2000,-1,1,2,,,
151,1P22710,A,ACTIVE,Passenger Elevator (P),12,2.5,1500,-1,1,2,,,
152,1P23911,A,ACTIVE,Passenger Elevator (P),12,2.5,2500,-1,1,2,,,
153,1P24110,A,ACTIVE,Passenger Elevator (P),12,2.5,2000,-1,1,2,,,
154,1P24377,A,ACTIVE,Passenger Elevator (P),12,2.5,2000,-1,1,2,,,
155,1P12350,A,ACTIVE,Passenger Elevator (P),12,3.333333333,2200,-1,1,2,,,
156,1P23489,A,ACTIVE,Passenger Elevator (P),12,3.333333333,2000,-1,1,2,,,
157,1P23815,A,ACTIVE,Passenger Elevator (P),12,3.333333333,2000,-1,1,2,,,
158,1P2500,A,ACTIVE,Passenger Elevator (P),12,3.333333333,10000,-1,1,2,,,
159,1P25030,A,ACTIVE,Passenger Elevator (P),12,3.333333333,1500,-1,1,2,,,
160,1P25684,A,ACTIVE,Passenger Elevator (P),12,3.333333333,4000,-1,1,2,,,
161,1P1428,A,ACTIVE,Passenger Elevator (P),12,5,1000,-1,1,2,,,
162,1P13347,A,ACTIVE,Passenger Elevator (P),12,5.833333333,1500,-1,1,2,,,
163,1P14679,A,ACTIVE,Passenger Elevator (P),12,5.833333333,1500,-1,1,2,,,
164,1P14680,A,ACTIVE,Passenger Elevator (P),12,5.833333333,1000,-1,1,2,,,
165,1P16712,A,ACTIVE,Passenger Elevator (P),12,5.833333333,1830,-1,1,2,,,
166,1P18182,A,ACTIVE,Passenger Elevator (P),12,5.833333333,1800,-1,1,2,,,
167,1P19943,A,ACTIVE,Passenger Elevator (P),12,5.833333333,2000,-1,1,2,,,
168,1P20115,A,ACTIVE,Passenger Elevator (P),12,5.833333333,1000,-1,1,2,,,
169,1P24929,A,ACTIVE,Passenger Elevator (P),12,5.833333333,2000,-1,1,2,,,
170,,,,,12,0,,,,,,,
171,1P19944,A,ACTIVE,Passenger Elevator (P),12,7.5,2000,-1,1,2,,,
172,1P19188,A,ACTIVE,Passenger Elevator (P),12,8.333333333,2000,-1,1,2,,,
173,1P1923,A,ACTIVE,Passenger Elevator (P),12,8.333333333,2200,-1,1,2,,,
174,1P17390,A,ACTIVE,Passenger Elevator (P),12,10,2000,-1,1,2,,,
175,1P15577,A,ACTIVE,Passenger Elevator (P),12,11.66666667,2000,-1,1,2,,,
176,1P22827,A,ACTIVE,Passenger Elevator (P),12,16.66666667,2000,-1,1,2,,,
177,1P23522,A,ACTIVE,Passenger Elevator (P),12,20,2000,-1,1,2,,,
178,1P23523,A,ACTIVE,Passenger Elevator (P),12,20,1200,-1,1,2,,,
179,1P1014,A,ACTIVE,Passenger Elevator (P),12,1.5,1200,-1,2,3,,,
180,1P11384,A,ACTIVE,Passenger Elevator (P),12,1.666666667,1500,-1,2,3,,,
181,1P11544,A,ACTIVE,Passenger Elevator (P),12,1.666666667,1800,-1,2,3,,,
182,1P24732,A,ACTIVE,Passenger Elevator (P),12,1.666666667,1800,-1,2,3,,,
183,1P12519,A,ACTIVE,Passenger Elevator (P),12,2.5,1200,-1,2,3,,,
184,1P17244,A,ACTIVE,Passenger Elevator (P),12,2.5,3000,-1,2,3,,,
185,1P22963,A,ACTIVE,Passenger Elevator (P),12,2.5,2000,-1,2,3,,,
186,1P24156,A,ACTIVE,Passenger Elevator (P),12,2.5,2500,-1,2,3,,,
187,1P24906,A,ACTIVE,Passenger Elevator (P),12,2.5,2000,-1,2,3,,,
188,1P22653,A,ACTIVE,Passenger Elevator (P),12,3.333333333,1500,-1,2,3,,,
189,1P25406,A,ACTIVE,Passenger Elevator (P),12,3.333333333,1800,-1,2,3,,,
190,1P14303,A,ACTIVE,Passenger Elevator (P),12,4.166666667,1800,-1,2,3,,,
191,1P18915,A,ACTIVE,Passenger Elevator (P),12,4.166666667,1800,-1,2,3,,,
192,1P2183,A,ACTIVE,Passenger Elevator (P),12,6.666666667,1500,-1,2,3,,,
193,1P21282,A,ACTIVE,Passenger Elevator (P),12,7.5,1000,-1,2,3,,,
194,1P17177,A,ACTIVE,Passenger Elevator (P),12,9.166666667,2000,-1,2,3,,,
195,1P12252,A,ACTIVE,Passenger Elevator (P),12,11.66666667,2000,-1,2,3,,,
196,1P14909,A,ACTIVE,Passenger Elevator (P),12,11.66666667,3500,-1,2,3,,,
197,1P16251,A,ACTIVE,Passenger Elevator (P),12,11.66666667,1000,-1,2,3,,,
198,1P20331,A,ACTIVE,Passenger Elevator (P),12,11.66666667,3500,-1,2,3,,,
199,1P21519,A,ACTIVE,Passenger Elevator (P),12,11.66666667,1200,-1,2,3,,,
200,1P21625,A,ACTIVE,Passenger Elevator (P),12,11.66666667,2000,-1,2,3,,,
201,1P23075,A,ACTIVE,Passenger Elevator (P),12,11.66666667,2000,-1,2,3,,,
202,1P22584,A,ACTIVE,Passenger Elevator (P),12,13.33333333,2000,-1,2,3,,,
203,1P22654,A,ACTIVE,Passenger Elevator (P),12,16.66666667,1500,-1,2,3,,,
204,1P16304,A,ACTIVE,Passenger Elevator (P),12,20,2000,-1,2,3,,,
205,1P23088,A,ACTIVE,Passenger Elevator (P),13,0.6,3500,-1,3,4,,,
206,1P21328,A,ACTIVE,Passenger Elevator (P),13,0.666666667,1500,-1,3,4,,,
207,1P22940,A,ACTIVE,Passenger Elevator (P),13,0.666666667,2000,-1,3,4,,,
208,1P10156,A,ACTIVE,Passenger Elevator (P),13,1.583333333,1500,-1,3,4,,,
209,1P10579,A,ACTIVE,Passenger Elevator (P),13,1.666666667,2000,-1,3,4,,,
210,1P10760,A,ACTIVE,Passenger Elevator (P),13,1.666666667,2500,-1,3,4,,,
211,1P10811,A,ACTIVE,Passenger Elevator (P),13,1.666666667,2500,-1,3,4,,,
212,1P11050,A,ACTIVE,Passenger Elevator (P),13,1.666666667,1500,-1,3,4,,,
213,1P11279,A,ACTIVE,Passenger Elevator (P),13,1.666666667,1200,-1,3,4,,,
214,1P11765,A,ACTIVE,Passenger Elevator (P),13,1.666666667,1500,-1,3,4,,,
215,1P23089,A,ACTIVE,Passenger Elevator (P),13,1.666666667,3500,-1,3,4,,,
216,1P24011,A,ACTIVE,Passenger Elevator (P),13,1.666666667,2000,-1,3,4,,,
217,1P24293,A,ACTIVE,Passenger Elevator (P),13,1.666666667,3000,-1,3,4,,,
218,1P24530,A,ACTIVE,Passenger Elevator (P),13,1.666666667,3500,-1,3,4,,,
219,1P10338,A,ACTIVE,Passenger Elevator (P),13,2,3500,-1,3,4,,,
220,1P10171,A,ACTIVE,Passenger Elevator (P),13,2.083333333,4500,-1,3,4,,,
221,1P17999,A,ACTIVE,Passenger Elevator (P),13,2.166666667,2000,-1,3,4,,,
222,1P21107,A,ACTIVE,Passenger Elevator (P),13,2.5,1000,-1,3,4,,,
223,1P10666,A,ACTIVE,Passenger Elevator (P),13,3.333333333,2000,-1,3,4,,,
224,1P12037,A,ACTIVE,Passenger Elevator (P),13,3.333333333,1000,-1,3,4,,,
225,1P25706,A,ACTIVE,Passenger Elevator (P),13,3.333333333,2500,-1,3,4,,,
226,1P25678,A,ACTIVE,Passenger Elevator (P),13,3.75,6000,-1,3,4,,,
227,1P25679,A,ACTIVE,Passenger Elevator (P),13,3.75,6000,-1,3,4,,,
228,1P13002,A,ACTIVE,Passenger Elevator (P),13,4.166666667,2000,-1,3,4,,,
229,1P13040,A,ACTIVE,Passenger Elevator (P),13,5.833333333,3000,-1,3,4,,,
